input,diff
1000000000000000000,-18920778712585.63
2000000000000000000,-38468378222569.26
3000000000000000000,-58642893549644.89
4000000000000000000,-79444419732708.52
5000000000000000000,-100873051829871.15
6000000000000000000,-122928884918456.78
7000000000000000000,-145612014095013.41
8000000000000000000,-168922534475313.04
9000000000000000000,-192860541194356.67
10000000000000000000,-217426129406384.3
11000000000000000000,-242619394284873.93
12000000000000000000,-268440431022549.56
13000000000000000000,-294889334831384.19
14000000000000000000,-321966200942606.82
15000000000000000000,-349671124606706.45
16000000000000000000,-378004201093436.08
17000000000000000000,-406965525691817.71
18000000000000000000,-436555193710150.34
19000000000000000000,-466773300476008.97
20000000000000000000,-497619941336253.6
21000000000000000000,-529095211657036.23
22000000000000000000,-561199206823797.86
23000000000000000000,-593932022241282.49
24000000000000000000,-627293753333536.12
25000000000000000000,-661284495543912.75
26000000000000000000,-695904344335080.38
27000000000000000000,-731153395189025.01
28000000000000000000,-767031743607056.64
29000000000000000000,-803539485109814.27
30000000000000000000,-840676715237265.9
31000000000000000000,-878443529548722.53
32000000000000000000,-916840023622834.16
33000000000000000000,-955866293057599.79
34000000000000000000,-995522433470371.42
35000000000000000000,-1035808540497858.05
36000000000000000000,-1076724709796131.68
37000000000000000000,-1118271037040629.31
38000000000000000000,-1160447617926162.94
39000000000000000000,-1203254548166920.57
40000000000000000000,-1246691923496471.2
41000000000000000000,-1290759839667772.83
42000000000000000000,-1335458392453173.46
43000000000000000000,-1380787677644417.09
44000000000000000000,-1426747791052652.72
45000000000000000000,-1473338828508431.35
46000000000000000000,-1520560885861719.98
47000000000000000000,-1568414058981898.61
48000000000000000000,-1616898443757770.24
49000000000000000000,-1666014136097562.87
50000000000000000000,-1715761231928935.5
51000000000000000000,-1766139827198986.13
52000000000000000000,-1817150017874248.76
53000000000000000000,-1868791899940708.39
54000000000000000000,-1921065569403796.02
55000000000000000000,-1973971122288402.65
56000000000000000000,-2027508654638876.28
57000000000000000000,-2081678262519033.91
58000000000000000000,-2136480042012160.54
59000000000000000000,-2191914089221017.17
60000000000000000000,-2247980500267845.8
61000000000000000000,-2304679371294373.43
62000000000000000000,-2362010798461817.06
63000000000000000000,-2419974877950889.69
64000000000000000000,-2478571705961802.32
65000000000000000000,-2537801378714274.95
66000000000000000000,-2597663992447532.58
67000000000000000000,-2658159643420320.21
68000000000000000000,-2719288427910898.84
69000000000000000000,-2781050442217056.47
70000000000000000000,-2843445782656109.1
71000000000000000000,-2906474545564910.73
72000000000000000000,-2970136827299852.36
73000000000000000000,-3034432724236869.99
74000000000000000000,-3099362332771449.62
75000000000000000000,-3164925749318631.25
76000000000000000000,-3231123070313016.88
77000000000000000000,-3297954392208768.51
78000000000000000000,-3365419811479622.14
79000000000000000000,-3433519424618885.77
80000000000000000000,-3502253328139447.4
81000000000000000000,-3571621618573779.03
82000000000000000000,-3641624392473941.66
83000000000000000000,-3712261746411592.29
84000000000000000000,-3783533776977985.92
85000000000000000000,-3855440580783981.55
86000000000000000000,-3927982254460047.18
87000000000000000000,-4001158894656266.81
88000000000000000000,-4074970598042341.44
89000000000000000000,-4149417461307598.07
90000000000000000000,-4224499581160990.7
91000000000000000000,-4300217054331109.33
92000000000000000000,-4376569977566182.96
93000000000000000000,-4453558447634082.59
94000000000000000000,-4531182561322331.22
95000000000000000000,-4609442415438103.85
96000000000000000000,-4688338106808235.48
97000000000000000000,-4767869732279223.11
98000000000000000000,-4848037388717236.74
99000000000000000000,-4928841173008116.37
100000000000000000000,-5010281182057383
